h,estimate,se,pvalue,n,n_country,window_id,window_length,window_midpoint,db,trade,lag_order
0,0.000244245025572457,0.00345710729588907,0.943676224592344,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
1,-0.00459332907508014,0.00350404180856071,0.189903058292405,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
2,-0.00383987990297903,0.00444453006951742,0.387611878723089,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
3,0.00403665143144577,0.00234023644728823,0.0845472221289893,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
4,0.00452094933133032,0.00306963443494332,0.140805698535829,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
5,0.00602489425163824,0.0051811686772143,0.244892539726893,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
6,0.00776788957168881,0.00321051451668232,0.0155411992379676,289,11,1,36,2003-07-01,Tsinghua,Trade_Total,6
0,-0.00025420250016114,0.00334067155840224,0.939344923604898,227,10,1,36,2003-07-01,Tsinghua,Trade_Total,12
1,-0.00454550747543274,0.0030948879751813,0.141910187615338,227,10,1,36,2003-07-01,Tsinghua,Trade_Total,12
2,-0.00561217014085359,0.00397054878953811,0.157523604370827,227,10,1,36,2003-07-01,Tsinghua,Trade_Total,12
3,0.00476828220746463,0.0023844820180404,0.04553114952565,227,10,1,36,2003-07-01,Tsinghua,Trade_Total,12
4,0.0060536567867655,0.00357620798200841,0.0905014275432629,227,10,1,36,2003-07-01,Tsinghua,Trade_Total,12
